id,primaryCategories,city,name,reviews.rating,reviews.text,reviews.title
1,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"Home 2 not only has an excellent location (walking distance to the Convention Center, Reading Terminal Market, China Town, Liberty Bell and South Street.) but is the BEST hotel I have stayed in with-in the city itself. Rooms are very large and clean. The beds are comfortable. I love this place!Not only is this place modern but it's super clean, quiet. Full kitchen including a dishwasher. There is a pod coffee maker with tons of pods to choose from. Excellent coffee bar in lobby and a large breakfast buffet is included.I would definitely stay here again! A++!Dear AngelicVixen,I would like to thank you for choosing the Home2 Suites by Hilton Philadelphia for your recent stay. I appreciate all of your wonderful comments and I am glad you enjoyed your stay with us! With so many choices here in center city Philadelphia, we greatly appreciate your business and look forward to welcoming you back soon, until then...With Hospitality,Jason Bloom General ManagerHome2 Suites by HiltonYour Second Home Away From Home",Best Stay In Philly
2,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",1,Overall miserable experience. Front desk was very unresponsive from start to finish at this Hilton location. Manager had a very confrontational attitude and certainly does not treat her guest like I am accustom at other higher end Hilton properties. She certainly makes it clear your word isn't good enough unless she can see the messed up room details for herself.... More,Would NEVER Recommend!
3,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",3,"Good location, nice breakfasts. Front desk customer service leaves a lot to be desired. The staff were pleasant sometimes and indifferent to rude at other times. Never received my room upgrade either.",All good except the front desk customer service
4,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,Great spot with kids and family. Would definitely stay here again. Clean rooms and friendly staff. Convenient to reading market. Nice to have breakfast included and hot coffee available all day. Kids loved the pool - although it was small.,Great family location
5,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"The hotel is ideally located in center city across the street from Reading Terminal market. They did a nice job modernizing this hotel. It is also very clean. Check in was great. I was in town for the night and booked a room last minute. I had 4 adults in one room and when I booked the only available option was 1 queen and 1 sofa bed in a room. I asked if they have any rooms available with 2 beds and they were able to accommodate me last minute which was great. Also at checkin they provided 2 cold bottles of water which was a nice touch. The room was very clean nice. The rooms have a full refrigerator, sink, microwave, dishwasher, coffee machine. The bathroom is simple, my room had a standing shower with a glass door. The pool was simple and on the smaller side. Parking like every other hotel is expensive and you will find better options searching on your phone to park yourself. The complimentary breakfast was solid, they offer waffles,yogurt, juice, prepackaged omlets and breakfast sandwiches that were very good. I have been to Philly many times over the years for Eagles games and stayed at 20+ hotels in the city and Home2 Suites would definitely be in my top 3. I highly recommend it!Dear Matthew,I would like to thank you for choosing the Home2 Suites by Hilton Philadelphia for your recent stay. I appreciate all of your wonderful comments and I am glad you enjoyed your stay with us! With so many choices here in center city Philadelphia, we greatly appreciate your business and look forward to welcoming you back soon, until then...With Hospitality,Jason Bloom General ManagerHome2 Suites by HiltonYour Second Home Away From Home","Fantastic Location, Great Staff"
6,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"Very clean and comfortable rooms. Kitchenette included in the room. All staff was friendly and helpful. Great lobby and an excellent breakfast. Wonderful location, right across from the Philadelphia convention center and Reading Market. The Southeast Pennsylvania Regional Transit Association rail terminal and train to the airport is next to the Reading Terminal. Easy walk to Independence Mall. Lots of shopping and eating nearby.",Suite hotel in downtown Philadelphia
7,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",3,"I wish I could separate the room experience from the breakfast experience but I can't because having breakfast included was a huge part of why we chose this hotel. Not enough seating, not enough staff, and most importantly not enough food. Today is our third breakfast here and they have run out of food each day. Today they are out of milk and waiting for a delivery. We bought milk from the hotel store to put on cereal and then realized it was expired. Guests are lined up six or 7 deep waiting for the breakfast sandwiches to be replenished. As we sit here now, it has been 30 minutes and there is still no milk. That said, the room itself has been very pleasant. Just don't plan on eating breakfast here.",Breakfast was a disaster
8,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"Excellent customer service and very easy check in process. The rooms are spacious and beds are comfortable. The location is great for not only the convention center, but is a quick subway trip or walking distance to most of Philadelphia most famous attractions. And having the Reading Terminal Market directly across the street is a great added bonus. There are several very good dining choices very close by. The added security of having to use your room key to enter the hotel and use the elevator is a great feature. Overall, this was a great hotel stay and recommend using Home2 Suites. We will definitely look forward to staying here again .Dear saturn445,I would like to thank you for choosing the Home2 Suites by Hilton Philadelphia for your recent stay. I appreciate all of your great comments and I am glad you enjoyed your stay with us! With so many choices here in center city Philadelphia, we greatly appreciate your business and look forward to welcoming you back soon, until then...With Hospitality,Jason Bloom General ManagerHome2 Suites by HiltonYour Second Home Away From Home",Wizard World visit
9,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"We finished business outside Philly early and took a chance on a room at Home2. Friendly front desk had 3 of us checked in within minutes. Large, clean, well-appointed suite with comfy bed and enormous bathroom awaited us. Perfect location to walk to eat, shop, catch a train for other points within Philly or direct to airport. My flight was delayed and they provided me with a late check-out no problem. Plan to return with my family! Definite yes for anyone staying in Center City.",Last Minute Reservation
10,HSA,Philadelphia,"Home Suites By Hilton Philadelphia-Convention Center, Pa",5,"This was my first stay at a Home2, and I was very pleased. The staff was excellent, the hotel clean and well-appointed, and breakfast was good and plentiful. The fitness center has sufficient equipment, but at least one machine did not work right and was not taken out of service/repaired during my week-long stay.",Clean and vey conveniently located
